Calories_Y;Total Fat_X1;Cholesterol_X2;Sodium_X3;Carbohydrates_X4;Dietary Fiber_X5;Sugars_X6;Protein_X7
300;13;260;750;31;4;3;17
250;8;25;770;30;4;3;18
370;23;45;780;29;4;2;14
450;28;285;860;30;4;2;21
400;23;50;880;30;4;2;21
430;23;300;960;31;4;3;26
460;26;250;1300;38;2;3;19
520;30;250;1410;43;3;4;19
410;20;35;1300;36;2;3;20
470;25;35;1420;42;3;4;20
430;27;30;1080;34;2;2;11
480;31;30;1190;39;3;3;11
510;33;250;1170;36;2;2;18
570;37;250;1280;42;3;3;18
460;27;35;1180;34;2;3;18
520;32;35;1290;40;3;3;18
410;20;30;1180;41;2;3;17
470;24;30;1290;46;3;4;17
540;32;280;1470;38;2;3;25
460;21;250;1250;48;2;15;19
400;15;35;1250;47;2;16;20
420;22;35;1030;44;2;15;11
550;31;265;1320;48;2;15;20
500;26;50;1320;46;2;15;21
620;31;275;1480;57;3;7;30
570;25;60;1480;55;3;8;30
670;35;295;1510;56;3;7;33
740;48;555;1560;51;3;3;28
800;52;555;1680;56;4;3;28
640;37;35;1590;50;3;3;26
690;41;35;1700;55;4;4;26
1090;56;575;2150;111;6;17;36
1150;60;575;2260;116;7;17;36
990;46;55;2170;110;6;17;35
1050;50;55;2290;115;7;18;35
350;9;20;590;60;3;14;8
520;24;50;930;61;3;14;15
300;16;115;790;26;1;2;12
150;9;0;310;15;2;0;1
460;19;15;370;66;3;32;6
290;4;5;160;58;5;32;5
260;4;5;115;49;5;18;5
530;27;85;960;47;3;9;24
520;26;95;1100;41;3;10;30
600;29;105;1440;48;3;12;37
610;31;105;1180;46;3;10;37
540;27;85;960;45;3;9;29
750;43;160;1280;42;3;10;48
240;8;30;480;32;1;6;12
290;11;45;680;33;2;7;15
430;21;90;1040;35;2;7;24
720;40;115;1470;51;4;14;39
380;17;75;840;34;2;7;22
440;22;90;1110;35;2;7;27
430;22;80;760;34;2;7;22
430;23;80;1030;35;2;6;22
500;26;70;980;44;3;11;22
510;22;45;990;55;3;10;24
350;9;65;820;42;3;8;28
670;33;85;1410;58;3;11;36
510;20;105;1250;44;3;9;40
610;28;70;1400;57;3;11;32
450;15;90;1230;43;3;9;36
750;38;90;1720;65;4;16;36
590;25;110;1560;51;4;14;40
430;19;45;910;43;2;7;21
360;16;35;800;40;2;5;14
480;24;65;1260;43;2;6;22
430;21;50;1260;41;2;6;20
360;16;35;990;40;2;5;14
630;32;80;1540;56;3;7;32
480;19;95;1370;42;3;6;36
610;31;65;1340;56;3;8;27
450;18;80;1170;42;3;6;30
670;33;60;1480;68;5;12;27
520;20;80;1320;55;5;10;31
540;23;50;1260;61;3;14;23
380;10;65;1090;47;3;12;27
190;12;25;360;12;1;0;9
280;18;40;540;18;1;0;13
470;30;65;900;30;2;0;22
940;59;135;1800;59;3;0;44
1880;118;265;3600;118;6;1;87
390;19;40;590;39;2;5;15
140;7;25;300;10;3;4;9
380;21;70;860;22;2;5;25
220;8;85;690;8;2;4;29
140;4.5;10;150;20;6;6;6
450;22;50;850;42;7;12;23
290;8;70;680;28;7;10;27
340;15;30;780;37;1;8;14
260;8;40;700;30;1;7;16
330;15;35;730;34;1;3;14
250;8;45;650;27;1;2;16
360;20;40;810;32;1;3;15
280;13;45;720;25;1;2;16
230;11;0;130;30;2;0;2
340;16;0;190;44;4;0;4
510;24;0;290;67;5;0;6
110;5;0;65;15;1;0;1
20;0;0;10;4;1;2;1
15;0;0;0;4;0;3;0
150;2;5;70;30;1;23;4
250;13;0;170;32;4;13;2
160;8;10;90;21;1;15;2
150;6;10;135;22;1;13;2
45;1.5;5;20;7;0;6;1
330;9;25;170;53;1;48;8
340;8;30;150;60;0;43;7
280;6;25;85;49;0;45;6
140;0;0;0;39;0;39;0
200;0;0;5;55;0;55;0
280;0;0;5;76;0;76;0
100;0;0;0;28;0;28;0
0;0;0;10;0;0;0;0
0;0;0;20;0;0;0;0
0;0;0;35;0;0;0;0
0;0;0;15;0;0;0;0
140;0;0;45;37;0;35;0
190;0;0;65;53;0;51;0
270;0;0;90;72;0;70;0
100;0;0;30;27;0;26;0
0;0;0;70;0;0;0;2
0;0;0;100;0;0;0;3
0;0;0;140;0;0;0;4
0;0;0;50;0;0;0;1
140;0;0;30;37;0;37;0
200;0;0;45;54;0;54;0
280;0;0;60;74;0;74;0
100;0;0;25;27;0;27;0
100;2.5;10;125;12;0;12;8
130;0;5;135;23;1;22;9
80;0;0;15;21;0;19;0
150;0;0;0;34;0;30;2
190;0;0;0;44;0;39;3
280;0;0;5;65;0;58;4
0;0;0;0;0;0;0;0
0;0;0;10;0;0;0;0
0;0;0;10;0;0;0;0
0;0;0;15;0;0;0;0
0;0;0;5;0;0;0;0
150;0;0;10;36;0;36;1
180;0;0;10;45;0;45;1
220;0;0;10;54;0;54;1
110;0;0;5;27;0;27;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
170;9;25;115;15;1;12;9
210;10;30;140;18;1;15;11
280;14;40;180;24;1;20;15
270;9;25;115;40;1;38;9
340;10;30;140;50;1;48;11
430;14;40;180;62;1;59;15
270;9;25;115;40;1;38;9
330;10;30;140;50;1;47;11
430;14;40;180;62;1;58;15
260;9;25;115;38;1;36;9
330;10;30;140;48;1;45;11
420;14;40;190;60;1;56;15
210;9;25;150;24;1;12;9
260;10;30;190;29;1;15;12
330;14;40;240;37;2;20;15
100;0;5;110;15;1;13;10
130;0;5;135;19;1;16;12
170;0.5;10;180;25;1;21;16
200;0;5;110;41;1;39;10
250;0;5;135;51;1;48;12
310;0.5;10;180;63;1;59;16
200;0;5;110;40;1;38;10
250;0;5;135;51;1;48;12
310;0.5;10;180;63;1;59;16
190;0;5;115;39;1;37;10
240;0;5;140;49;1;46;12
300;0.5;10;180;60;1;56;16
140;0;5;150;24;1;13;10
170;0;5;180;30;1;16;12
220;0.5;10;240;38;2;21;16
340;11;35;150;49;2;42;10
410;14;40;190;60;2;53;13
500;17;50;240;72;2;63;16
270;3.5;15;150;49;2;43;11
330;3.5;15;190;60;2;53;13
390;4;20;240;73;2;64;17
320;11;35;170;45;1;40;10
390;14;40;220;55;1;50;12
480;17;50;270;66;1;60;16
250;3.5;15;170;45;1;41;10
310;3.5;15;210;56;1;51;13
370;3.5;20;270;67;1;61;17
360;13;40;180;50;1;45;11
440;16;50;220;61;1;56;14
540;20;60;280;73;1;68;17
280;3.5;15;180;50;1;46;12
340;3.5;15;220;61;1;57;14
400;3.5;20;280;74;1;69;19
140;4.5;15;35;23;0;22;1
190;7;25;50;31;0;30;1
270;9;35;75;47;0;45;2
130;4.5;15;35;22;0;21;1
180;7;25;50;29;0;28;1
260;9;35;65;43;0;42;2
130;4.5;15;35;21;0;20;1
180;7;25;50;29;0;28;1
250;9;35;75;43;0;41;2
120;4.5;15;40;20;0;19;1
170;7;25;55;27;0;26;1
240;9;35;80;41;0;39;2
80;4.5;15;65;9;0;1;1
120;7;25;90;12;0;2;1
160;9;35;135;18;0;2;2
290;11;35;125;41;1;34;8
350;13;40;150;50;1;43;9
480;16;50;220;70;2;62;14
240;5;20;125;41;1;35;8
290;5;20;150;50;1;43;10
390;6;25;220;71;2;62;14
280;11;35;140;38;0;33;8
340;13;40;170;46;1;41;9
460;16;50;250;65;1;59;13
230;5;20;140;38;0;33;8
270;5;20;170;47;1;41;10
370;6;25;250;65;1;59;14
450;18;65;125;65;1;57;7
550;22;75;160;80;1;71;9
670;26;90;190;98;1;88;11
450;19;65;125;64;0;57;7
550;23;80;160;79;0;71;9
670;27;95;190;96;0;88;11
530;23;65;135;76;1;67;8
630;26;80;160;91;1;81;9
760;31;95;200;111;1;99;12
220;0.5;5;40;50;3;44;2
260;1;5;50;62;4;54;3
340;1;5;65;79;5;70;4
210;0.5;5;50;47;3;44;3
250;1;5;60;58;3;54;4
330;1;5;80;74;4;70;5
210;0.5;5;40;50;1;46;2
260;1;5;45;61;1;56;3
340;1;5;60;78;2;72;4
530;15;60;160;86;0;63;11
660;19;75;200;109;0;81;14
820;23;90;260;135;0;101;18
550;16;60;160;90;0;79;12
690;20;75;210;114;0;100;15
850;24;90;260;140;0;123;18
560;16;60;240;91;1;77;12
700;20;75;300;114;2;97;15
850;23;85;380;141;2;120;19
660;19;75;210;109;0;93;14
820;23;90;260;135;0;115;18
650;23;50;180;96;1;89;13
930;33;75;260;139;2;128;20
430;15;35;120;64;1;59;9
510;17;45;280;80;1;64;12
690;23;55;380;106;1;85;15
340;11;30;190;53;1;43;8
810;32;60;400;114;2;103;21
410;16;30;200;57;1;51;10